page,text,confidence,bbox
1,300.00,0.9997956156730652,"[[1373.0, 1460.0], [1462.0, 1460.0], [1462.0, 1495.0], [1373.0, 1495.0]]"
1,"42,800.50",0.9998195171356201,"[[1533.0, 1462.0], [1662.0, 1462.0], [1662.0, 1498.0], [1533.0, 1498.0]]"
1,"Street, timed 17:30 31 Jan",0.980949342250824,"[[347.0, 1503.0], [667.0, 1505.0], [666.0, 1541.0], [347.0, 1538.0]]"
1,16 February,0.9985167980194092,"[[157.0, 1561.0], [327.0, 1561.0], [327.0, 1589.0], [157.0, 1589.0]]"
1," Cash Withdrawal - RandomBank, Randomford.",0.9791772961616516,"[[345.0, 1553.0], [907.0, 1559.0], [907.0, 1594.0], [345.0, 1589.0]]"
1,50.00,0.999942421913147,"[[1191.0, 1561.0], [1282.0, 1561.0], [1282.0, 1599.0], [1191.0, 1599.0]]"
1,"42,750.50",0.9998831152915955,"[[1538.0, 1554.0], [1667.0, 1554.0], [1667.0, 1589.0], [1538.0, 1589.0]]"
1,timed 9.52 14 Feb,0.9814013242721558,"[[350.0, 1599.0], [575.0, 1599.0], [575.0, 1632.0], [350.0, 1632.0]]"
1,17 February,0.98050457239151,"[[155.0, 1650.0], [358.0, 1653.0], [357.0, 1688.0], [154.0, 1685.0]]"
1,40.00,0.9998092651367188,"[[1191.0, 1644.0], [1268.0, 1651.0], [1265.0, 1687.0], [1187.0, 1679.0]]"
1,Card payment - High St Petrol Station,0.9953740835189819,"[[342.0, 1655.0], [801.0, 1655.0], [801.0, 1688.0], [342.0, 1688.0]]"
1,"42,710.50",0.9999024868011475,"[[1533.0, 1653.0], [1660.0, 1653.0], [1660.0, 1688.0], [1533.0, 1688.0]]"
1,Direct Debit - Home Insurance.,0.9729958772659302,"[[350.0, 1696.0], [717.0, 1696.0], [717.0, 1729.0], [350.0, 1729.0]]"
1,78.34,0.9999683499336243,"[[1186.0, 1701.0], [1267.0, 1701.0], [1267.0, 1736.0], [1186.0, 1736.0]]"
1,42.632.16,0.9458202719688416,"[[1533.0, 1698.0], [1662.0, 1698.0], [1662.0, 1734.0], [1533.0, 1734.0]]"
1,18 February YourJob BiWeekly Payment,0.9850366115570068,"[[155.0, 1759.0], [684.0, 1764.0], [684.0, 1800.0], [154.0, 1795.0]]"
1,"2,575.00",0.9997780323028564,"[[1376.0, 1759.0], [1495.0, 1759.0], [1495.0, 1795.0], [1376.0, 1795.0]]"
1,"45,207.16",0.9998233318328857,"[[1525.0, 1759.0], [1657.0, 1759.0], [1657.0, 1795.0], [1525.0, 1795.0]]"
1,18 February,0.9989833235740662,"[[153.0, 1837.0], [325.0, 1846.0], [323.0, 1882.0], [151.0, 1873.0]]"
1, Randomford's Deli,0.987152636051178,"[[345.0, 1848.0], [575.0, 1851.0], [575.0, 1886.0], [344.0, 1883.0]]"
1,15.00,0.9998983144760132,"[[1191.0, 1840.0], [1270.0, 1840.0], [1270.0, 1879.0], [1191.0, 1879.0]]"
1,"45,195.16",0.9998238682746887,"[[1531.0, 1843.0], [1657.0, 1843.0], [1657.0, 1879.0], [1531.0, 1879.0]]"
1,"45,042.16",0.9998791813850403,"[[1527.0, 1914.0], [1655.0, 1920.0], [1653.0, 1958.0], [1525.0, 1952.0]]"
1,24 February,0.9997873902320862,"[[148.0, 1924.0], [322.0, 1930.0], [321.0, 1965.0], [147.0, 1959.0]]"
1,Anytown's Jewelers.,0.9777566194534302,"[[347.0, 1929.0], [590.0, 1929.0], [590.0, 1962.0], [347.0, 1962.0]]"
1,150.00,0.9998999238014221,"[[1191.0, 1924.0], [1285.0, 1924.0], [1285.0, 1960.0], [1191.0, 1960.0]]"
1,Direct Deposit,0.999424397945404,"[[352.0, 1972.0], [522.0, 1972.0], [522.0, 2000.0], [352.0, 2000.0]]"
1,25.00,0.9997916221618652,"[[1373.0, 1972.0], [1452.0, 1972.0], [1452.0, 2011.0], [1373.0, 2011.0]]"
1,"45,067.16",0.9998091459274292,"[[1525.0, 1972.0], [1652.0, 1972.0], [1652.0, 2008.0], [1525.0, 2008.0]]"
1,28 February,0.9998054504394531,"[[145.0, 2043.0], [317.0, 2049.0], [316.0, 2085.0], [144.0, 2079.0]]"
1,Monthly Apartment Rent,0.999115526676178,"[[347.0, 2049.0], [646.0, 2049.0], [646.0, 2082.0], [347.0, 2082.0]]"
1,987.33,0.9990397095680237,"[[1183.0, 2046.0], [1282.0, 2046.0], [1282.0, 2082.0], [1183.0, 2082.0]]"
1,44.079.83,0.9999048709869385,"[[1520.0, 2046.0], [1647.0, 2046.0], [1647.0, 2082.0], [1520.0, 2082.0]]"
1,44.079.83,0.9999167323112488,"[[1528.0, 2196.0], [1672.0, 2196.0], [1672.0, 2231.0], [1528.0, 2231.0]]"
